93,la roche guyon,mairie.larocheguyon@wanadoo.fr
94,lassy,"<td>Adresse mairie de LASSY</td><td>Grande Rue - 95270 - LASSY</td><td>Numéro de téléphone de la mairie</td><td>01 34 71 05 82</td><td>Numéro de télécopie de la mairie</td><td></td><td>Adresse Email</td><td></td><td>Site web de la Mairie:</td><td><a class=""lientxt2"" href=""""></a></td><td>Code Insee de LASSY</td><td>95331</td><td>Nombre d'habitants à LASSY</td><td>173 habitants</td><td>Densité des habitants au Km2</td><td> habitants</td><td>Nom des habitants (gentilé)</td><td>Lassyens, Lassyennes</td><td>Superficie de LASSY</td><td> hectares</td><td>Altitude moyenne</td><td>60m</td><td>Longitude</td><td>2.4466669559479</td><td>Latitude</td><td>49.095832824707</td><td>Département</td><td>VAL D'OISE</td><td>Superficie du département</td><td>1246 km2</td><td>Préfecture</td><td>CERGY</td><td>Population du département</td><td>1148000</td><td>Structure intercommunale</td><td>LUZARCHES</td>"
95,le bellay en vexin,mairie.bellay@wanadoo.fr
96,le heaulme,mairie.le.heaulme@cegetel.net
97,le mesnil aubry,mairie.mesnil-aubry@wanadoo.fr
98,le perchay,mairie.leperchay@wanadoo.fr
99,le plessis bouchard,mairie@ville-le-plessis-bouchard.fr
100,le plessis gassot,le.plessis.gassot@wanadoo.fr
101,le plessis luzarches,mairieplessisluzarches@orange.fr
102,le thillay,p.bezillot@mairie-le-thillay.fr
103,l isle adam,m.martin@ville-isle-adam.fr
104,livilliers,mairie-de-livilliers@wanadoo.fr
105,longuesse,mairie.longuesse@orange.fr
106,louvres,communication@ville-louvres.fr
107,luzarches,v.coquillard@luzarches.net
108,maffliers,mairie-maffliers@wanadoo.fr
109,magny en vexin,mairie@magny-en-vexin.fr
110,mareil en france,mairie.mareil.france@wanadoo.fr
111,margency,info@mairie-margency.fr
112,marines,mairie.marines@wanadoo.fr
113,marly la ville,"<td>Adresse mairie de MARLY-LA-VILLE</td><td>10 rue du Colonel Fabien - 95670 - MARLY-LA-VILLE</td><td>Numéro de téléphone de la mairie</td><td>01 34 47 46 46</td><td>Numéro de télécopie de la mairie</td><td>01 34 68 77 20</td><td>Adresse Email</td><td></td><td>Site web de la Mairie:</td><td><a class=""lientxt2"" href=""""></a></td><td>Code Insee de MARLY-LA-VILLE</td><td>95371</td><td>Nombre d'habitants à MARLY-LA-VILLE</td><td>5592 habitants</td><td>Densité des habitants au Km2</td><td> habitants</td><td>Nom des habitants (gentilé)</td><td>Marlysiens, Marlysiennes</td><td>Superficie de MARLY-LA-VILLE</td><td> hectares</td><td>Altitude moyenne</td><td>130m</td><td>Longitude</td><td>2.4988889694214</td><td>Latitude</td><td>49.077220916748</td><td>Département</td><td>VAL D'OISE</td><td>Superficie du département</td><td>1246 km2</td><td>Préfecture</td><td>CERGY</td><td>Population du département</td><td>1148000</td><td>Structure intercommunale</td><td>LUZARCHES</td>"
114,maudetour en vexin,mairie.maudetour@wanadoo.fr
115,menouville,"<td>Adresse mairie de MENOUVILLE</td><td>Mairie - 95810 - MENOUVILLE</td><td>Numéro de téléphone de la mairie</td><td>01 34 66 53 82</td><td>Numéro de télécopie de la mairie</td><td>01 34 66 53 82</td><td>Adresse Email</td><td></td><td>Site web de la Mairie:</td><td><a class=""lientxt2"" href=""""></a></td><td>Code Insee de MENOUVILLE</td><td>95387</td><td>Nombre d'habitants à MENOUVILLE</td><td>79 habitants</td><td>Densité des habitants au Km2</td><td> habitants</td><td>Nom des habitants (gentilé)</td><td>Menouvillois, Menouvilloises</td><td>Superficie de MENOUVILLE</td><td> hectares</td><td>Altitude moyenne</td><td>60m</td><td>Longitude</td><td>2.1105558872223</td><td>Latitude</td><td>49.149723052979</td><td>Département</td><td>VAL D'OISE</td><td>Superficie du département</td><td>1246 km2</td><td>Préfecture</td><td>CERGY</td><td>Population du département</td><td>1148000</td><td>Structure intercommunale</td><td>MARINES</td>"
116,menucourt,communication@menucourt.fr
117,meriel,accueil.mairie@ville-de-meriel.fr
118,mery sur oise,services.administratifs@merysuroise.fr
119,moisselles,mairie.moisselles@orange.fr
120,montgeroult,mairie-de-montgeroult@wanadoo.fr
121,montigny les cormeilles,communication@ville-montigny95.fr
122,montlignon,mairie.montlignon@wanadoo.fr
123,montmagny,communication@ville-montmagny.fr
124,montmorency,directiongenerale@ville-montmorency.fr
125,montreuil sur epte,mairiemontreuilept@orange.fr
126,montsoult,mairie-montsoult@wanadoo.fr
127,mours,secretaire.mairie.mours@wanadoo.fr
128,moussy,mairie.de.st.denis.catus@wanadoo.fr
129,nerville la foret,mairie-nerville95@wanadoo.fr
130,nesles la vallee,pontenay@wanadoo.fr
131,neuilly en vexin,"<td>Adresse mairie de NEUILLY-EN-VEXIN</td><td>2 rue de l'Eglise - 95640 - NEUILLY-EN-VEXIN</td><td>Numéro de téléphone de la mairie</td><td>01 30 39 73 08</td><td>Numéro de télécopie de la mairie</td><td>01 30 39 94 47</td><td>Adresse Email</td><td></td><td>Site web de la Mairie:</td><td><a class=""lientxt2"" href=""""></a></td><td>Code Insee de NEUILLY-EN-VEXIN</td><td>95447</td><td>Nombre d'habitants à NEUILLY-EN-VEXIN</td><td>212 habitants</td><td>Densité des habitants au Km2</td><td> habitants</td><td>Nom des habitants (gentilé)</td><td>Néoviciens, Néoviciennes</td><td>Superficie de NEUILLY-EN-VEXIN</td><td> hectares</td><td>Altitude moyenne</td><td>150m</td><td>Longitude</td><td>1.9772219657898</td><td>Latitude</td><td>49.167499542236</td><td>Département</td><td>VAL D'OISE</td><td>Superficie du département</td><td>1246 km2</td><td>Préfecture</td><td>CERGY</td><td>Population du département</td><td>1148000</td><td>Structure intercommunale</td><td>MARINES</td>"
132,neuville sur oise,affgenerales@neuville-sur-oise.fr
133,nointel,nointel-mairie@wanadoo.fr
134,noisy sur oise,mairie.de.noisy.sur.oise@wanadoo.fr
135,nucourt,mairie.nucourt@wanadoo.fr
136,omerville,
137,osny,communication@ville-osny.fr
138,parmain,communication@ville-parmain.fr
139,persan,mairie@ville-persan.fr
140,pierrelaye,mairie@ville-pierrelaye.fr
141,piscop,mairie.piscop@wanadoo.fr
142,pontoise,mairie@ville-pontoise.fr
143,presles,mairie@ville-presles.fr
144,puiseux en france,vsimil@roissy-online.com
145,puiseux pontoise,mairie.puiseux-pontoise.95@wanadoo.fr
146,roissy en france,accueil@ville-roissy95.fr
147,ronquerolles,mairie.ronquerolles95@wanadoo.fr
148,sagy,mairie.sagy@wanadoo.fr
149,saint brice sous foret,info@saintbrice95.fr
150,saint clair sur epte,mairie-stclairsurepte@orange.fr
151,saint cyr en arthies,mairie.stcyrenarthies@wanadoo.fr
152,saint gervais,mairie.saintgervais@wanadoo.fr
153,saint gratien,info@mairie-saintgratien.fr
154,saint leu la foret,mairie@saint-leu-la-foret.fr
155,saint martin du tertre,mairiesaintmartindutertre@wanadoo.fr
156,saint ouen l aumone,courrier@ville-saintouenlaumone.fr
157,saint prix,communication@saintprix.fr
158,saint witz,mairie@saint-witz.fr
159,sannois,secretariat.general@sannois.org
160,santeuil,mairie@santeuil95.fr
161,sarcelles,comsarcelles@yahoo.fr
162,seraincourt,mairie.seraincourt95@wanadoo.fr
163,seugy,mairie.seugy@wanadoo.fr
164,soisy sous montmorency,mairie@soisy-sous-montmorency.fr
165,survilliers,vincent@roissy-online.com
166,taverny,mairie@ville-taverny.fr
167,themericourt,mairie.themericourt@wanadoo.fr
168,theuville,mairie.theuville.mts@wanadoo.fr
169,us,mairie.us.95@wanadoo.fr
170,vallangoujard,secretariat@vallangoujard.fr
171,valmondois,mairievalmondois@gmail.com
172,vaudherland,"<td>Adresse mairie de VAUDHERLAND</td><td>Mairie - 95500 - VAUDHERLAND</td><td>Numéro de téléphone de la mairie</td><td>01 39 33 94 16</td><td>Numéro de télécopie de la mairie</td><td>01 39 33 94 11</td><td>Adresse Email</td><td></td><td>Site web de la Mairie:</td><td><a class=""lientxt2"" href=""""></a></td><td>Code Insee de VAUDHERLAND</td><td>95633</td><td>Nombre d'habitants à VAUDHERLAND</td><td>92 habitants</td><td>Densité des habitants au Km2</td><td> habitants</td><td>Nom des habitants (gentilé)</td><td>Vaudherlandais, Vaudherlandaises</td><td>Superficie de VAUDHERLAND</td><td> hectares</td><td>Altitude moyenne</td><td>73m</td><td>Longitude</td><td>2.4863889217377</td><td>Latitude</td><td>49.001388549805</td><td>Département</td><td>VAL D'OISE</td><td>Superficie du département</td><td>1246 km2</td><td>Préfecture</td><td>CERGY</td><td>Population du département</td><td>1148000</td><td>Structure intercommunale</td><td>GONESSE</td>"
173,vaureal,communication@mairie-vaureal.fr
174,vemars,sandrine_ravenel@yahoo.fr
175,vetheuil,mairiedevetheuil@orange.fr
176,viarmes,ville-viarmes@wanadoo.fr
177,vienne en arthies,mairie.viennearthies@wanadoo.fr
178,vigny,mairie.vigny@wanadoo.fr
179,villaines sous bois,mairie@villaines-sous-bois.fr
180,villeron,accueilvilleron@roissy-online.com
181,villers en arthies,mairie.villers@free.fr
182,villiers adam,mairie.villiersadam@wanadoo.fr
183,villiers le bel,secretariatgeneral@ville-villiers-le-bel.fr
184,villiers le sec,mairie.villiers-le-sec@wanadoo.fr
185,wy dit joli village,mairie.wy-dit-joli-village@wanadoo.fr
